Packet Log,Channle:,DatagramSocket3,TimeStamp:,01-03-2026_11-44-15
Seq,Received,Delay(ms),Status
623,1,41,OUT_OF_ORDER
622,1,166,OUT_OF_ORDER
625,1,41,OUT_OF_ORDER
626,0,0,TIMEOUT
627,0,0,TIMEOUT
624,1,207,OUT_OF_ORDER
626,1,81,OUT_OF_ORDER
628,0,0,TIMEOUT
629,0,0,TIMEOUT
630,1,0,OK
628,1,126,OUT_OF_ORDER
632,1,125,OUT_OF_ORDER
631,1,126,OUT_OF_ORDER
634,1,0,OUT_OF_ORDER
635,1,0,OK
633,1,252,OUT_OF_ORDER
637,1,125,OUT_OF_ORDER
636,1,126,OUT_OF_ORDER
638,1,127,OK
641,1,126,OUT_OF_ORDER
644,1,0,OUT_OF_ORDER
645,1,0,OK
646,0,0,TIMEOUT
643,1,146,OUT_OF_ORDER
646,1,20,OUT_OF_ORDER
648,1,20,OUT_OF_ORDER
647,1,20,OUT_OF_ORDER
649,1,146,OK
652,1,21,OUT_OF_ORDER
650,1,21,OUT_OF_ORDER
653,0,0,TIMEOUT
654,0,0,TIMEOUT
653,1,190,OUT_OF_ORDER
655,1,64,OK
654,1,64,OUT_OF_ORDER
657,1,64,OUT_OF_ORDER
658,1,64,OK
659,1,64,OK
656,1,190,OUT_OF_ORDER
660,0,0,TIMEOUT
661,0,0,TIMEOUT
661,1,125,OUT_OF_ORDER
664,1,126,OUT_OF_ORDER
663,1,126,OUT_OF_ORDER
665,1,127,OK
667,1,0,OUT_OF_ORDER
666,1,126,OUT_OF_ORDER
668,1,127,OK
671,1,0,OUT_OF_ORDER
670,1,1,OUT_OF_ORDER
672,1,125,OK
674,1,0,OUT_OF_ORDER
673,1,1,OUT_OF_ORDER
675,0,0,TIMEOUT
676,0,0,TIMEOUT
676,1,169,OUT_OF_ORDER
678,1,43,OUT_OF_ORDER
679,1,43,OK
677,1,43,OUT_OF_ORDER
682,1,41,OUT_OF_ORDER
681,1,168,OUT_OF_ORDER
